# 2015-02-02: Prices/Volumes for EEX Power Futures
#  
# Data type(ST);Trading Date;Creation Time
# Data type(PR);Product;Unit;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;Settlement Price;Best Bid Price;Best Bid No Of Contracts;Best Ask Price;Best Ask No Of Contracts;Traded Volume;Traded Contracts;Number Of Trades;Open Interest Volume;Open Interest Contracts
# Data type(OT);Product;Unit;Delivery Period;Delivery Start;Delivery End;Contract Volume;Traded Volume;Traded Contracts;Number Of Trades
# Data type(AL);Number of Lines
#  
ST;2015-02-02;2015-02-02T19:30:18+01:00
PR;QDBY;EUR/MWh;2018.01;2018-01-01;2018-12-31;8760;;;;;39,00;0,00;0;0,00;0;0;0;0;0;0
PR;QDBY;EUR/MWh;2019.01;2019-01-01;2019-12-31;8760;;;;;39,45;0,00;0;0,00;0;0;0;0;0;0
PR;QDBY;EUR/MWh;2020.01;2020-01-01;2020-12-31;8784;;;;;41,38;0,00;0;0,00;0;0;0;0;0;0
PR;QDBY;EUR/MWh;2021.01;2021-01-01;2021-12-31;8760;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;QDPM;EUR/MWh;2015.02;2015-02-02;2015-02-27;240;;;;;50,10;0,00;0;0,00;0;0;0;0;4800;20
PR;QDPM;EUR/MWh;2015.03;2015-03-02;2015-03-31;264;;;;;46,30;0,00;0;0,00;0;0;0;0;3960;15
PR;QDPM;EUR/MWh;2015.04;2015-04-01;2015-04-30;264;;;;;45,78;44,35;5;45,85;5;0;0;0;0;0
PR;QDPM;EUR/MWh;2015.05;2015-05-01;2015-05-29;252;;;;;44,77;43,30;5;44,80;5;0;0;0;0;0
PR;QDPM;EUR/MWh;2015.06;2015-06-01;2015-06-30;264;;;;;43,93;42,50;5;44,00;5;0;0;0;0;0
PR;QDPM;EUR/MWh;2015.07;2015-07-01;2015-07-31;276;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;QDPM;EUR/MWh;2015.08;2015-08-03;2015-08-31;252;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;QDPQ;EUR/MWh;2015.04;2015-04-01;2015-06-30;780;;;;;44,83;44,15;5;45,50;5;0;0;0;7800;10
PR;QDPQ;EUR/MWh;2015.07;2015-07-01;2015-09-30;792;;;;;43,83;43,15;5;44,50;5;0;0;0;7920;10
PR;QDPQ;EUR/MWh;2015.10;2015-10-01;2015-12-31;792;;;;;49,10;48,35;5;49,85;5;0;0;0;7920;10
PR;QDPQ;EUR/MWh;2016.01;2016-01-01;2016-03-31;780;;;;;50,80;0,00;0;0,00;0;0;0;0;0;0
PR;QDPQ;EUR/MWh;2016.04;2016-04-01;2016-06-30;780;;;;;44,67;0,00;0;0,00;0;0;0;0;0;0
PR;QDPQ;EUR/MWh;2016.07;2016-07-01;2016-09-30;792;;;;;43,93;0,00;0;0,00;0;0;0;0;0;0
PR;QDPQ;EUR/MWh;2016.10;2016-10-03;2016-12-30;780;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;QDPY;EUR/MWh;2016.01;2016-01-01;2016-12-30;3132;;;;;46,83;46,40;5;47,25;5;0;0;0;0;0
PR;QDPY;EUR/MWh;2017.01;2017-01-02;2017-12-29;3120;;;;;46,75;46,40;5;47,10;5;0;0;0;0;0
PR;QDPY;EUR/MWh;2018.01;2018-01-01;2018-12-31;3132;;;;;47,80;0,00;0;0,00;0;0;0;0;0;0
PR;QDPY;EUR/MWh;2019.01;2019-01-01;2019-12-31;3132;;;;;48,25;0,00;0;0,00;0;0;0;0;0;0
PR;QDPY;EUR/MWh;2020.01;2020-01-01;2020-12-31;3144;;;;;50,90;0,00;0;0,00;0;0;0;0;0;0
PR;QDPY;EUR/MWh;2021.01;2021-01-01;2021-12-31;3132;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7B1;EUR/MWh;2015.02;2015-01-26;2015-02-01;168;;;;;44,29;0,00;0;0,00;0;0;0;0;221760;1320
PR;F7B2;EUR/MWh;2015.02;2015-02-02;2015-02-08;168;;;;;54,61;0,00;0;0,00;0;0;0;0;319200;1900
PR;F7B3;EUR/MWh;2015.02;2015-02-09;2015-02-15;168;54,50;54,50;52,25;53,40;52,94;53,25;25;56,10;1;21000;125;5;161784;963
PR;F7B4;EUR/MWh;2015.02;2015-02-16;2015-02-22;168;48,50;48,75;46,85;47,00;46,99;46,25;25;46,50;5;16800;100;4;71400;425
PR;F7B1;EUR/MWh;2015.03;2015-02-23;2015-03-01;168;44,00;44,00;44,00;44,00;44,28;43,25;0;44,25;25;4200;25;1;33600;200
PR;F7B2;EUR/MWh;2015.03;2015-03-02;2015-03-08;168;;;;;43,00;42,25;25;43,75;25;0;0;0;0;0
PR;F7BM;EUR/MWh;2015.02;2015-02-01;2015-02-28;672;;;;;49,42;0,00;0;0,00;0;0;0;0;4355904;6482
PR;F7BM;EUR/MWh;2015.03;2015-03-01;2015-03-31;743;42,00;42,00;40,50;40,60;40,56;39,75;25;40,75;25;33435;45;8;4743312;6384
PR;F7BM;EUR/MWh;2015.04;2015-04-01;2015-04-30;720;;;;;36,21;36,15;10;36,25;8;0;0;0;507600;705
PR;F7BM;EUR/MWh;2015.05;2015-05-01;2015-05-31;744;;;;;29,75;28,50;25;30,50;25;0;0;0;0;0
PR;F7BM;EUR/MWh;2015.06;2015-06-01;2015-06-30;720;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7BM;EUR/MWh;2015.07;2015-07-01;2015-07-31;744;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7BM;EUR/MWh;2015.08;2015-08-01;2015-08-31;744;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7BQ;EUR/MWh;2015.04;2015-04-01;2015-06-30;2184;32,05;32,05;32,05;32,05;32,05;31,75;5;32,10;5;32760;15;3;6615336;3029
PR;F7BQ;EUR/MWh;2015.07;2015-07-01;2015-09-30;2208;31,45;31,45;31,45;31,45;31,13;30,70;10;31,55;5;33120;15;2;5621568;2546
PR;F7BQ;EUR/MWh;2015.10;2015-10-01;2015-12-31;2209;44,75;44,75;44,75;44,75;44,76;44,65;10;45,25;10;22090;10;1;8836000;4000
PR;F7BQ;EUR/MWh;2016.01;2016-01-01;2016-03-31;2183;46,25;46,35;46,25;46,35;46,38;46,35;5;46,75;10;43660;20;2;1036925;475
PR;F7BQ;EUR/MWh;2016.04;2016-04-01;2016-06-30;2184;;;;;31,73;0,00;0;0,00;0;0;0;0;185640;85
PR;F7BQ;EUR/MWh;2016.07;2016-07-01;2016-09-30;2208;;;;;31,66;0,00;0;31,80;5;0;0;0;132480;60
PR;F7BQ;EUR/MWh;2016.10;2016-10-01;2016-12-31;2209;;;;;43,85;0,00;0;44,25;5;0;0;0;740015;335
PR;F7BY;EUR/MWh;2016.01;2016-01-01;2016-12-31;8784;38,40;38,40;38,40;38,40;38,40;38,20;1;38,45;5;87840;10;2;16628112;1893
PR;F7BY;EUR/MWh;2017.01;2017-01-01;2017-12-31;8760;;;;;38,63;38,35;1;38,85;5;0;0;0;5256000;600
PR;F7BY;EUR/MWh;2018.01;2018-01-01;2018-12-31;8760;;;;;38,75;38,00;5;39,50;5;0;0;0;0;0
PR;F7BY;EUR/MWh;2019.01;2019-01-01;2019-12-31;8760;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7BY;EUR/MWh;2020.01;2020-01-01;2020-12-31;8784;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7BY;EUR/MWh;2021.01;2021-01-01;2021-12-31;8760;;;;;;0,00;0;0,00;0;0;0;0;0;0
PR;F7P1;EUR/MWh;2015.02;2015-01-26;2015-01-30;60;;;;;51,57;0,00;0;0,00;0;0;0;0;41100;685
PR;F7P2;EUR/MWh;2015.02;2015-02-02;2015-02-06;60;;;;;64,83;0,00;0;0,00;0;0;0;0;35700;595
PR;F7P3;EUR/MWh;2015.02;2015-02-09;2015-02-13;60;65,00;65,00;65,00;65,00;64,68;64,00;25;65,00;25;1500;25;1;16200;270
PR;F7P4;EUR/MWh;2015.02;2015-02-16;2015-02-20;60;;;;;56,00;55,50;25;56,50;25;0;0;0;7500;125
PR;F7P1;EUR/MWh;2015.03;2015-02-23;2015-02-27;60;;;;;52,47;51,25;25;52,25;25;0;0;0;0;0
PR;F7P2;EUR/MWh;2015.03;2015-03-02;2015-03-06;60;;;;;50,38;49,25;25;51,50;25;0;0;0;0;0
PR;F7PM;EUR/MWh;2015.02;2015-02-02;2015-02-27;240;;;;;59,50;0,00;0;0,00;0;0;0;0;192480;802
PR;F7PM;EUR/MWh;2015.03;2015-03-02;2015-03-31;264;47,25;47,25;47,25;47,25;47,33;47,00;5;47,65;25;3960;15;1;193248;732
PR;F7PM;EUR/MWh;2015.04;2015-04-01;2015-04-30;264;;;;;43,89;43,50;2;45,50;25;0;0;0;6600;25
